Koopaling tech,Description,Requirements / setup,Link
Broken Wall Tech,"OoK Jr will keep the knockback of a stage spike, but be able to act Immediately. (Frame 1 tech from the video does not work anymore)","Be out of the Clown Kart. Get hit into the stage so that it causes a tech situation, don't Hold up or away from wall and press Shield/Grab during the wall cling/bounce animation. ",`Bowser Jr wall jump teching and frame 1 tech <https://www.youtube.com/watch?v=7Zu74mbF9OU>`_
" Wall jump tech (While OoK)","After Jr uses his Up-B, you can wall jump tech while getting stage spiked. ","Be out of the Clown Kart, Get hit into the stage so that it causes a tech situation, Hold up or away from wall and press Shield/Grab during the wall cling/bounce animation, or within 8 frames prior to touching the wall.",`See above <https://www.youtube.com/watch?v=7Zu74mbF9OU>`_
Broken Floor Tech,"You can bring kart back instead of teching to not bounce off the floor, or be put into a tech read situation. this has less lag than teching in place.",n / a,n / a
Cannon ball ledge cancel,"After firing a cannonball, grabbing the ledge will cancel it's end-lag.",Be within ledge grabbing range after firing a cannonball,n / a
Cannonball Shield breaker,You can space the landing hit to be where the opponent stands to almost break a full shield.,space it.,n / a
Chiflis Jump,"after about 10 frames of aerial kart dash, you can spinout, and cancel it within 3 frames with jump, to get a small distance boost.",spin and jump within 3 frames.,n / a
Jr kart dash Kart slide,Kart dash can slide or not slide depending on certain circumstances.,Spin out at various points before hitting the ground.,`Bowser Jr's spinout slide possibilities <https://www.youtube.com/watch?v=25qSNXs0nD8>`_
Suspension Kart Dash,Kart dash after landing (after the bounce) raises the armor of kart dash.,"kart dash after a short hop or jump, bounce off the floor, and continue driving. ",`See above <https://www.youtube.com/watch?v=25qSNXs0nD8>`_
Shield Freeze Kart Jump Canceled Abandon Ship.,"While you are in the freeze frames of kart dashing an opponent's shield, you can get 1 frame of kart jump, and then replace it with the first frame of a special move. If Up special is used you will rise with the momentum of the kart jump, once shield freeze has ended.",Hit shield with kart dash.,n / a
"Mecha bite Tutorial ","Mecha Koopa can launch in various directions depending on certain circumstances. ","Hit the opponent slight before or after mecha grabs on for various results. ",n / a
" Double (weak) hammer on shield",Hit the opponent's shield twice with the hilt of the hammer swing.,Swing while falling or rising in the center of the opponent's shield.,`Mecha bite tutorial: BeefySmashDoods <https://youtu.be/pqe0RELTKRM>`_
" Frame 1 tech/ Buffered wall tech","After Jr uses his Up-B and is hit, you can tech in a way that keeps the Knockback from the original hit, and you can immediately act with kart. This fails at a high enough knockback before untechable, however. ","Be out of the Clown Kart, Get hit into the stage so that it causes a tech situation, do not Hold up or away and press Shield/Grab within 8 frames prior to touching the wall. Failure will perform the broken wall tech.",n / a
Damage Mecha Koopa momentum Retention,"If a mecha is thrown and caught, breaking the mech while its held will cause the mech to continue it's trejectory from when it was caught.","Catch a thrown mecha, and have an opponent hit the mecha with enough damage to break it.",n / a
Mecha Duplication,"If mecha is z grabbed on the frame it explodes (from being hit, unsure on natural explosion), you will recreate a mechakoopa with the same timer. this mecha is special in that the explosion will hurt anyone, even the user.","After an opponent hits a mecha you were holding, jump and z grab it with frame perfect timing",n / a
Hammer swing pickup,"While swinging the hammer or scepter, koopalings automatically pickup items.",Swing your hammer when close enough to an item,n / a
Bounce-able Mecha Koopa (BMK),"MK can be bounced on the floor or wall with a down or side throw respectively, when very close to the floor or wall.","Mecha Koopa must be picked up before it begins walking. This could be after throwing it from the air, or from a platform to a lower ground.  ",n / a
Mecha Koopa Bounce,BMK can be bounced on the floor with a down throw.,Own a Bounce-able Mecha Koopa. Be on the floor when throwing it.,n / a
Mecha Koopa Wall Bounce,BMK can be bounced on the wall with a side throw,Own a Bounce-able Mecha Koopa. Be very close to the wall when throwing it.,https://www.youtube.com/watch?v=IqSGyLN7ucQ
Mecha Koopa Wind Capture,"MK will Keep wind or water force when held, and will add the force to next throw or Z-Drop","Hold a MK, and have it get hit by wind or water. If Jr gets hit by wind/water, The mecha does not necessarily capture the effect. Some moves require Jr to face away from the move, so the item is between Jr and the water/wind.",Extended video
Kartdash to Phantom footstool,"after hitting shield, Bowser Jr. will cancel kart dash with jump, and then footstool the opponent's shield.","After going through Kart dash shield hitlag, wait a moment, then jump twice quickly to footstool.",
